"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"1uF","desc","C17,C10,C9,","C_0402_1005Metric","libref","2","3","","",
"12pF","desc","C2,C1,","C_0201_0603Metric","libref","4","2","","",
"10uF","desc","C6,C5,","C_0603_1608Metric","libref","2","2","","",
"100nF","desc","C8,C3,C4,C18,C16,C15,C14,C13,C12,C11,C7,","C_0201_0603Metric","libref","4","11","","",
"LED","desc","D2,D1,","LED_0603_1608Metric","libref","2","2","","",
"Si2301DS","desc","Q1,","SOT-23","libref","3","1","","",
"1k","desc","R10,R7,R32,R11,R22,R21,R9,R8,R4,R1,","R_0201_0603Metric","libref","4","10","","",
"DNF","desc","R2,R3,","R_0201_0603Metric","libref","4","2","","",
"20R","desc","R31,R30,R29,R28,R27,R26,R25,R24,R23,R20,R19,R18,R17,R16,R15,R14,R13,R12,","R_0201_0603Metric","libref","4","18","","",
"27R","desc","R6,R5,","R_0201_0603Metric","libref","4","2","","",
"SW_Push","desc","SW1,","SW_DIP_SPSTx01_Slide_6.7x4.1mm_W8.61mm_P2.54mm_LowProfile","libref","2","1","","",
"SW_User","desc","SW2,","SW_DIP_SPSTx01_Slide_6.7x4.1mm_W8.61mm_P2.54mm_LowProfile","libref","2","1","","",
"W25Q128JVS","desc","U2,U1,","SOIC-8_5.23x5.23mm_P1.27mm","libref","8","2","","",
"AMS1117-3.3","desc","U3,","SOT-223-3_TabPin2","libref","4","1","","",
"12MHz","desc","Y1,","Crystal_SMD_3225-4Pin_3.2x2.5mm","libref","4","1","","",
"Through Hole Items ",
"USB_A","desc","J1,","USB_A_CNCTech_1001-011-01101_Horizontal","libref","8","1","","",
"Conn_01x04","desc","J2,","PinHeader_1x04_P2.54mm_Vertical","libref","4","1","","",
"Conn_02x10_Odd_Even","desc","J3,","PinHeader_2x10_P2.54mm_Vertical","libref","20","1","","",
"RP2040","desc","U4,","RP2040-QFN-56","libref","70","1","","",
